term,definition,category,URI,related URI,exact synonyms,partial synonyms,notes,exemplars
clustered,An arrangement in which more than one gall is present at any gall location in a close aggregation,arrangement,http://purl.obolibrary.org/obo/PATO_0001629,,aggregated,coalesced; confluent,,
scattered,"An arrangement in which more than one gall is present at any gall location in a scattered, irregularly spread pattern",arrangement,http://purl.obolibrary.org/obo/PATO_0001609,,sparse,,,
solitary,An arrangement in which a single gall is present at any gall location,arrangement,,,,,,
color,"A composite chromatic quality composed of hue, saturation and intensity parts",color,http://purl.obolibrary.org/obo/PATO_0000014,,,,"lots of color definitions: green, light green, brown, etc.; see PATO",
banded,A color pattern in which a gall has transverse stripes of one hue or degree of saturation crossing another.,color pattern,http://purl.obolibrary.org/obo/PATO_0001946,,,,,
barred,A color pattern in which a gall has vertical bars of one hue or degree of saturation crossing another,color pattern,http://purl.obolibrary.org/obo/PATO_0002276,,,,,
blotchy,A color pattern in which a gall is marked with irregularly shaped spots or blots of a different hue or degree of saturation,color pattern,http://purl.obolibrary.org/obo/PATO_0000329,,,,,
dappled,"A color pattern in which a gall is marked with small spots, patches, or specks of hue or degree of saturation differing from that of the background",color pattern,http://purl.obolibrary.org/obo/PATO_0001535,,,,,
linear color gradient,A color pattern in which a gall has one hue or degree of saturation apically and a different hue or degree of saturation proximally and a color gradient between the two poles,color pattern,,,,,,
marbled,A color pattern in which a gall is colored with a variegated pattern resembling marble,color pattern,http://purl.obolibrary.org/obo/PATO_0002273,,,,,
mono-colored,A color pattern in which a gall has one hue,color pattern,http://purl.obolibrary.org/obo/PATO_0001532,,,,,
motley,A color pattern in which a gall has three or more hues or degrees of saturations,color pattern,http://purl.obolibrary.org/obo/PATO_0001534,,,,,
mottled,"A color pattern in which a gall is dappled with spots, patches, or blotches of different colors",color pattern,http://purl.obolibrary.org/obo/PATO_0002274,,,tinged,,
multicolored,A color pattern in which a gall has two or more hues or degrees of saturation,color pattern,http://purl.obolibrary.org/obo/PATO_0001533,,,,,
netted,A color pattern in which a gall is covered with reticulated lines of a different hue or degree of saturation,color pattern,http://purl.obolibrary.org/obo/PATO_0001947,,,,,
spotted,A color pattern in which a gall is marked with a round area of different hue or degree of saturation,color pattern,http://purl.obolibrary.org/obo/PATO_0000333,,,,,
conspicuous,A quality inhering in a bearer by virtue of being clearly visible,conspicuousness,http://purl.obolibrary.org/obo/PATO_0000463,,,,,
inconspicuous,A quality inhering in a bearer by virtue of not being clearly visible,conspicuousness,http://purl.obolibrary.org/obo/PATO_0000464,,,,,
kapello,"A gall structure that is knob-like, is attached externally, and which is not fed on by the gall-inducer",gall structure,,,,,,
larval chamber,A gall structure wherein the gall inducer (and/or its associates) resides,gall structure,,,,,,
detached chamber,An internal quality in which a larval chamber is free to roll around in a hollow chamber,internal quality,,,rattle gall,,,
filamentous,An internal quality in which a larval chamber is suspended medially in the parenchyma by radiating plant fibers inside a largely hollow chamber,internal quality,,,,,,Amphibolips quercusinanis
hollow,An internal quality inhering in a bearer by virtue of the bearer's having an empty space or cavity within,internal quality,http://purl.obolibrary.org/obo/PATO_0002078,,,,,
monothalamous,An internal quality in which a gall has a single larval chamber for the gall-making insect,internal quality,,,single chambered; unilocular,,,
pithy,An internal quality in which the tissue is reminiscent of pith,internal quality,,http://purl.obolibrary.org/obo/PO_0006109,,,,
polythalamous,An internal quality in which a gall has more than one larval chamber for the gall-making insect,internal quality,,,multichambered; multilocular,,,
solid,An internal quality in which the larval chamber is suspended medially in firm plant tissue,internal quality,http://purl.obolibrary.org/obo/PATO_0001736,,,,,
spongy,An internal quality in which a larval chamber is suspended medially in sponge-like plant tissue,internal quality,http://purl.obolibrary.org/obo/PATO_0001480,,,,,
variable,An internal quality in which a gall has one or multiple chambers depending on gall arrangement or additional factors,internal quality,,,,,,
abaxial leaf epidermis,A location trait in which a gall develops on the lower or abaxial side of the leaf,location,http://purl.obolibrary.org/obo/PO_0006019,,lower leaf gall; underside leaf gall,,,
adaxial leaf epidermis,A location trait in which a gall develops on the upper or adaxial side of the leaf,location,http://purl.obolibrary.org/obo/PO_0006018,,upper leaf gall,,,
branch,A location trait in which a gall develops on or in a branch (twigs and branches radiate from stem or trunk),location,http://purl.obolibrary.org/obo/PO_0025073,,twig,stem,,
bud,A location trait in which a gall develops on or in a bud (undeveloped shoot system),location,http://purl.obolibrary.org/obo/PO_0000055,,,,,
cambium,A location trait in which a gall develops on or in cambium (under bark),location,http://purl.obolibrary.org/obo/PO_0005597,,,,,
disk flower,A location trait in which a gall develops on a small flower in the center of a head-type (capitulum) inflorescence,location,http://purl.obolibrary.org/obo/PO_0025332,,,,,
fruit,"A location trait in which a gall develops on or in a fruit (acorn, including cap, for oaks)",location,http://purl.obolibrary.org/obo/PO_0009001,,,"acorn, seed pod",,
inflorescence,A location trait in which a gall develops on or in an inflorescence (catkin for oaks),location,http://purl.obolibrary.org/obo/PO_0009049,,,,,
leaf axil,A location trait in which a gall develops on or in the axil that is the space between a shoot axis and a leaf that branches from the shoot axis,location,http://purl.obolibrary.org/obo/PO_0009023,,,axil,,
leaf lamina,A location trait in which a gall develops on or in a leaf lamina (leaf blade apical of petiole),location,http://purl.obolibrary.org/obo/PO_0020039,,,,,
leaf midrib,A location trait in which a gall develops on or in the midrib vein on a leaf,location,http://purl.obolibrary.org/obo/PO_0020139,,,,,
leaf petiole,A location trait in which a gall develops on or in a petiole of a leaf,location,http://purl.obolibrary.org/obo/PO_0020038,,,,,
leaf vein,"A location trait in which a gall develops on or in a lateral leaf vein (i.e., not the midrib)",location,http://purl.obolibrary.org/obo/PO_0020138,,,,,
leaflet,A location trait in which a gall develops on the one of the ultimate segments of a compound leaf,location,http://purl.obolibrary.org/obo/PO_0020049,,,,,
root,A location trait in which a gall develops on or in a root,location,http://purl.obolibrary.org/obo/PO_0009005,,,,,
stem,A location trait in which a gall develops on or in a stem (trunk; primary shoot axis of plant),location,http://purl.obolibrary.org/obo/PO_0009047,,,stalk,,
secretion,"A non-cellular substance released by a cell, gland or tissue",non-cellular substance,http://purl.obolibrary.org/obo/AEO_0001005,,,,,
arachnose,"A hairiness trait in which a gall is covered in fine, entangled hairs giving the appearance of cobweb",pilosity,http://purl.obolibrary.org/obo/PATO_0002344,,,,,
felted,"A hairiness trait in which a gall is covered in short, dense, fine hairs giving the appearance of felt",pilosity,,,,,,
glabrous,A hairiness trait in which a gall lacks hairs,pilosity,http://purl.obolibrary.org/obo/PATO_0000453,,bald,,,Disholcaspis quercusglobulus
hairy,A hairiness trait in which a gall is covered with hair or hairlike projections.,pilosity,http://purl.obolibrary.org/obo/PATO_0000454,,pubescent,,,
hispid,A hairiness trait in which a gall is covered with stiff or rough hairs,pilosity,http://purl.obolibrary.org/obo/PATO_0002339,,,,,Acraspis erinacei
hispidulous,"A hairiness trait in which a gall is minutely hispid; i.e., covered in short, stiff hairs",pilosity,http://purl.obolibrary.org/obo/PATO_0002340,,,,,
gall,"A plant structure not normally produced by the plant, but induced by another organism and which serves to nourish and protect the inducer",plant structure,,http://purl.obolibrary.org/obo/PO_0009011,,,,
acuminate,A shape trait in which a gall tapers gradually to a sharp point,shape,http://purl.obolibrary.org/obo/PATO_0002228,,,,,
amorphous,A shape trait in which a gall lacks distinct morphology; irregular shape,shape,http://purl.obolibrary.org/obo/PATO_0001332,,,,,
